Section,Course,Gender,Residence
Section D,Bachelor of Technology ECE,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology ME Mec,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ECE,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ME,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ECE,Female,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ME,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology CSE Cyb,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology Civil,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology ME,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology ECE,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE,Female,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology ME,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE VL,Female,Hosteller (University Hostels)
Section D,Bachelor of Technology ME,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Female,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Female,Hosteller (University Hostels)
Section D,Bachelor of Technology ECE,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ME,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Female,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology ME Mec,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ME Mec,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology ECE VL,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ECE VL,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE VL,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology CSE Cyb,Female,Day Scholar (Commuting Dail
Section D,Bachelor of Technology Civil,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Male,Hosteller (University Hostels)
SectionC,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE ML & AI,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,No decided yet
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented Room (Walking distance)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section C,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE Data Science and AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE Data Science and AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE Data Science and AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE Data Science and AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE Data Science and AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE Data Science and AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Female,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
E,Bachelor of Technology CSE ML & AI,Male,"Day Scholar (Commuting Daily by Bus, Own Vehicle, or Public Transport)"
